what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1338467398846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1338467406279
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1338467407445
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1338467407838
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467410697
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467414342
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1338467420747
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1338467420866
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1338467422004
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467424287
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1338467428156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467455710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467463627
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467476011
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467508641
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467526042
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1338467531369
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467538534
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467548736
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1338467550316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467555849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467567418
opened,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467567754
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467567829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467571009
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467572401
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467579188
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467590014
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467607060
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467609324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467609477
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467624063
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1338467624125
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467625064
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467626030
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467626186
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467635074
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467637061
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467637925
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467638077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467643892
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467648839
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467663824
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467664809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467664956
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467669675
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467678429
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467681070
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467681230
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467711621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467716250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467717129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467717231
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467723144
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467723479
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467723585
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467726799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467728182
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467728409
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467728515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467731954
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467732103
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467732215
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467737755
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467738151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467738256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467742869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467743026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467743129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467767870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467774234
error,log,,,"Designer [8.1.0.r36x201010220706]: java.lang.NullPointerException",1338467774358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467774444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467774734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467783392
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1338467783471
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467786900
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467788300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467788488
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467795207
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467799990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467800229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467818765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1338467818835
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467822128
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467823869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467824020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467829063
error,log,,,"Designer [8.1.0.r36x201010220706]: java.lang.NullPointerException",1338467829134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467829219
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467829396
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467832100
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467834624
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467834870
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467838107
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467839710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467839951
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338467853634
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338467857330
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467857561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467865085
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467884729
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467893156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467895384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467900158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467913182
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467918320
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467930823
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467935696
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467947127
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467954243
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467956799
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1338467963461
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467963789
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1338467969275
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467970723
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467970988
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1338467971681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467972222
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467972344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467972379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338467973450
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1338468003290
no handler,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1338468018051
no handler,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1338468018051
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468023098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468048496
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468073661
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338468117301
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338468122285
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468122512
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468125905
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468131551
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338468137919
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338468139176
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468139392
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468187093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468204694
activated,view,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.PaletteView",1338468207406
activated,editor,com.instantiations.designer.core,8.1.0.r36x201010220706,"com.instantiations.designer.core.guiEditor",1338468208677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468208922
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468252033
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468254228
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1338468256695
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1338468262007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468262432
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1338468266604
